date,temperature
1900-01-01,1.461
1900-02-01,3.0980000000000003
1900-03-01,5.492000000000001
1900-04-01,8.222999999999999
1900-05-01,11.385
1900-06-01,13.293
1900-07-01,14.171
1900-08-01,13.816
1900-09-01,11.955
1900-10-01,9.666
1900-11-01,5.803999999999999
1900-12-01,3.655
1901-01-01,2.1910000000000003
1901-02-01,3.092
1901-03-01,5.671
1901-04-01,8.522
1901-05-01,11.178
1901-06-01,13.423
1901-07-01,14.339
1901-08-01,13.789
1901-09-01,11.984000000000002
1901-10-01,9.003
1901-11-01,5.976
1901-12-01,3.335
1902-01-01,2.684
1902-02-01,3.606
1902-03-01,4.883
1902-04-01,7.955999999999999
1902-05-01,10.893
1902-06-01,13.214
1902-07-01,14.231
1902-08-01,13.599
1902-09-01,11.799
1902-10-01,8.801
1902-11-01,5.274
1902-12-01,2.713
1903-01-01,2.514
1903-02-01,3.555
1903-03-01,4.93
1903-04-01,7.831999999999999
1903-05-01,10.794
1903-06-01,12.886
1903-07-01,13.992
1903-08-01,13.412
1903-09-01,11.501
1903-10-01,8.812000000000001
1903-11-01,5.516
1903-12-01,2.898
1904-01-01,1.6369999999999998
1904-02-01,2.297
1904-03-01,4.506
1904-04-01,7.683999999999998
1904-05-01,10.84
1904-06-01,13.014
1904-07-01,13.836
1904-08-01,13.459
1904-09-01,11.380999999999998
1904-10-01,8.833
1904-11-01,6.23
1904-12-01,3.374
1905-01-01,2.254
1905-02-01,1.927
1905-03-01,4.635
1905-04-01,7.754999999999999
1905-05-01,10.982
1905-06-01,13.112
1905-07-01,14.077
1905-08-01,13.578
1905-09-01,11.803999999999998
1905-10-01,9.041
1905-11-01,6.183
1905-12-01,3.354
1906-01-01,2.068
1906-02-01,2.301
1906-03-01,4.8660000000000005
1906-04-01,8.626
1906-05-01,11.239999999999998
1906-06-01,13.334
1906-07-01,14.122
1906-08-01,13.691
1906-09-01,11.771999999999998
1906-10-01,9.267
1906-11-01,5.501
1906-12-01,3.761
1907-01-01,1.798
1907-02-01,2.117
1907-03-01,4.575
1907-04-01,7.579
1907-05-01,10.375
1907-06-01,12.729
1907-07-01,13.769
1907-08-01,13.362
1907-09-01,11.665
1907-10-01,9.234
1907-11-01,5.207000000000001
1907-12-01,2.9560000000000004
1908-01-01,2.3040000000000003
1908-02-01,2.769
1908-03-01,4.136
1908-04-01,7.831999999999999
1908-05-01,11.140999999999998
1908-06-01,13.293
1908-07-01,14.197
1908-08-01,13.376
1908-09-01,11.977
1908-10-01,8.865
1908-11-01,5.272
1908-12-01,3.071
1909-01-01,1.395
1909-02-01,2.7060000000000004
1909-03-01,4.589
1909-04-01,7.534
1909-05-01,10.611
1909-06-01,12.962
1909-07-01,14.06
1909-08-01,13.752
1909-09-01,11.879
1909-10-01,9.192
1909-11-01,6.236000000000001
1909-12-01,3.2230000000000003
1910-01-01,2.333
1910-02-01,2.779
1910-03-01,4.606
1910-04-01,8.104999999999999
1910-05-01,11.005
1910-06-01,13.151
1910-07-01,14.279000000000002
1910-08-01,13.677
1910-09-01,11.733
1910-10-01,9.006
1910-11-01,5.318
1910-12-01,2.684
1911-01-01,1.66
1911-02-01,2.4530000000000003
1911-03-01,4.347
1911-04-01,7.989999999999998
1911-05-01,10.829
1911-06-01,13.009
1911-07-01,14.082
1911-08-01,13.499
1911-09-01,11.638
1911-10-01,9.263
1911-11-01,5.964
1911-12-01,3.39
1912-01-01,2.402
1912-02-01,3.354
1912-03-01,4.356
1912-04-01,8.229
1912-05-01,11.254
1912-06-01,13.435
1912-07-01,13.723
1912-08-01,13.053
1912-09-01,11.222
1912-10-01,8.366999999999999
1912-11-01,5.521
1912-12-01,3.069
1913-01-01,2.083
1913-02-01,2.376
1913-03-01,4.517
1913-04-01,8.023
1913-05-01,10.745
1913-06-01,13.005
1913-07-01,14.137
1913-08-01,13.724
1913-09-01,11.759
1913-10-01,9.077
1913-11-01,6.024
1913-12-01,4.103
1914-01-01,3.3760000000000003
1914-02-01,3.2
1914-03-01,4.942
1914-04-01,8.097999999999999
1914-05-01,11.284999999999998
1914-06-01,13.496
1914-07-01,14.298
1914-08-01,13.73
1914-09-01,11.915
1914-10-01,9.387
1914-11-01,5.759
1914-12-01,3.6
