FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7435,221041,Dallol,13926,Confirmed Eruption,1.0,,,,Observations: Reported,,1926,,,7.0,2.0,182.0,,,,,,,,POINT (40.3 14.242)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7434,221041,Dallol,20939,Confirmed Eruption,0.0,,Dallol crater,,Observations: Reported,,2011,,,1.0,4.0,3.0,,2011.0,,,1.0,4.0,3.0,POINT (40.3 14.242)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7433,221060,Alu-Dalafilla,13927,Confirmed Eruption,3.0,?,W and NW of Dalaffilla,,Observations: Reported,,2008,,,11.0,3.0,,,2008.0,,?,12.0,16.0,15.0,POINT (40.553 13.793)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7432,221080,Erta Ale,13928,Uncertain Eruption,2.0,,,,,,1873,,,7.0,2.0,182.0,,,,,,,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7431,221080,Erta Ale,13929,Uncertain Eruption,2.0,,,,,,1903,,,7.0,2.0,182.0,,,,,,,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7430,221080,Erta Ale,13930,Uncertain Eruption,2.0,,,,,,1904,,,11.0,1.0,60.0,,,,,,,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-742f,221080,Erta Ale,13931,Confirmed Eruption,0.0,,,,Observations: Reported,,1906,,,5.0,16.0,15.0,,,,,,,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-742e,221080,Erta Ale,13933,Confirmed Eruption,0.0,,,,Observations: Reported,,1940,,,7.0,2.0,182.0,,,,,,,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-742d,221080,Erta Ale,13934,Confirmed Eruption,0.0,,,,Observations: Reported,,1960,,,1.0,16.0,15.0,,,,,,,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-742c,221080,Erta Ale,13935,Confirmed Eruption,0.0,,,,Observations: Reported,<,1967,,,7.0,2.0,182.0,,2025.0,,,8.0,7.0,,POINT (40.666 13.601)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-742b,221091,Hayli Gubbi,22630,Confirmed Eruption,,,S flank,,Correlation: Tephrochronology,>,-6250,,,,,,,,,,,,,POINT (40.7161 13.5111)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-742a,221091,Hayli Gubbi,22631,Confirmed Eruption,4.0,,,,Observations: Reported,,2025,,,11.0,23.0,,,2025.0,,,11.0,23.0,,POINT (40.7161 13.5111)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7429,221101,Nabro,20800,Confirmed Eruption,4.0,,Summit crater and NW flank,,Observations: Reported,,2011,,,6.0,13.0,,,2012.0,,?,6.0,3.0,,POINT (41.7 13.37)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7428,225030,"Marra, Jebel",14139,Confirmed Eruption,4.0,C,Deriba caldera,,Isotopic: 14C (calibrated),?,-2000,,,0.0,0.0,,,,,,,,,POINT (24.27 12.95)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7427,225050,Meidob Volcanic Field,14140,Confirmed Eruption,4.0,P,NE crater of vent VF 57,,Radiogenic: Thermoluminescence,,-6050,1600.0,,0.0,0.0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7426,225050,Meidob Volcanic Field,14141,Confirmed Eruption,,,Central Meidob volcanic field,,Radiogenic: Thermoluminescence,,-5250,500.0,,0.0,0.0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7425,225050,Meidob Volcanic Field,14142,Confirmed Eruption,4.0,P,Central Meidob volcanic field,,Correlation: Tephrochronology,,-4150,1450.0,,0.0,0.0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7424,225050,Meidob Volcanic Field,14143,Confirmed Eruption,4.0,P,SW crater of vent VF 57,,Correlation: Tephrochronology,?,-3050,,,0.0,0.0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7423,225050,Meidob Volcanic Field,14144,Confirmed Eruption,4.0,P,Central Meidob volcanic field,,Correlation: Tephrochronology,?,-3000,,,0.0,0.0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7422,225050,Meidob Volcanic Field,14145,Confirmed Eruption,0.0,,Vent VF 214,,Radiogenic: Thermoluminescence,,-2950,500.0,,0.0,0.0,,,,,,,,,POINT (26.47 15.32)
Smithsonian_VOTW_Holocene_Eruptions.fid--1678905a_1a0570e89d9_-7421,225060,Bayuda Volcanic Field,14146,Confirmed Eruption,,,,,Isotopic: 14C (uncalibrated),,850,50.0,,0.0,0.0,,,,,,,,,POINT (32.75 18.33)
